Formula,ID,Description,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10
C3H6O,ACET,0,0.0,0.00148911430720864,2.07e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3H4O,ACROLEIN,0,0.0,0.00327605148450832,1.0300000000000001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2H4O,ALD2,0,0.0,0.008339040146316319,3.8799999999999994e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2H4O,ALD2_PRIMARY,acetaldehyde from emissions only,0.0,0.008339040146316319,3.8799999999999994e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALDX,ALDX,aldehydes with 3 or more carbons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C6H6,BENZ,0,0.0,0.11317268763616703,0.01862148571,0.0,0.0,0.00605,0.0,0.0,0.031220558074999998,0.0
C4H6,BUTADIENE13,0,0.0,0.01399767451947536,5.17e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH4,CH4,0,0.0,0.36334389185267035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH4,CH4_INV,0,0.0,0.36334389185267035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL2,CL2,molecular chlorine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,CO,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2,CO2_INV,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2H4,ETH,0,0.0,0.10721623039291696,0.0152,0.0,0.0,0.0,0.0,0.0,0.0011269335,0.0
C2H6,ETHA,0,0.0,0.07147748693341648,0.0,0.0,0.0,0.0,0.0,0.0,0.02261595755,0.0
C2H2,ETHY,0,0.0,0.0419930235728416,2.07e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2H6O,ETOH,0,0.0,0.000774113424,2.065e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH2O,FORM,0,0.0,0.00774339442054976,0.0404,0.0,0.0,0.00867,0.0,0.0,0.0,0.0
CH2O,FORM_PRIMARY,0,0.0,0.00774339442054976,0.0404,0.0,0.0,0.00867,0.0,0.0,0.0,0.0
HCL,HCL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HNO2,HONO,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IOLE,IOLE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C5H8,ISO,0,0.0,0.0266551461667876,0.000212,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KET,KET,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH4O,MEOH,0,0.0,0.08934685866316672,0.00355877282,0.0046,0.0,0.96789,0.0,0.0,0.0,0.0
N2O,N2O_INV,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C10H8,NAPH,0,0.0,0.0,0.058645368499999996,0.0008,0.0,0.0,0.0,0.0,0.0,0.0
NH3,NH3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NH3,NH3_FERT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO,NO,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO2,NO2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVOL,NVOL,non‐volatilespecies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLE,OLE,terminal alkene bond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al,PAL,aluminum,0.006125,0.019615333333333335,0.06792833333333333,0.0259,0.008633333333333333,0.00061,0.00681,0.016066666666666663,0.0,0.06705
PAR,PAR,carbon-carbon single bond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ca,PCA,calcium,0.01927,0.12053266666666668,0.017155666666666666,0.0332,0.011066666666666667,0.0030499999999999998,0.04725000000000001,0.009966666666666667,0.0,0.0562695
Cl,PCL,chloride,0.1595,0.0005296666666666666,0.003469,0.0281,0.009366666666666667,0.00584,0.0174,0.04685,0.0,0.00033224999999999997
C,PEC,Elemental carbon,0.0355,0.1773254375,0.052583624999999995,0.01362,0.0060999999999999995,0.017705,0.206815,0.0034100000000000003,0.0,0.0029875
Fe,PFE,iron,0.00927,0.024470000000000002,0.10455,0.018500000000000003,0.006166666666666667,0.00029,0.008485,0.22288750000000002,0.0,0.04745
PH2O,PH2O,water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,PK,potassium,0.017124999999999998,0.002502333333333333,0.001418,0.014499999999999999,0.004833333333333334,0.041299999999999996,0.00931,0.02645,0.0,0.013175
PM10,PMC,Coarse mode primary PM ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mg,PMG,magnesium,0.0070999999999999995,0.0002486666666666667,0.013003,0.005580000000000001,0.0018600000000000003,0.00091,0.0051600000000000005,0.0024100000000000002,0.0,0.0
Mn,PMN,manganese,0.00036,0.001189,0.00029133333333333333,0.0011899999999999999,0.00039666666666666664,0.00016,0.00065,0.008292500000000001,0.0,0.0012
PMOTHR,PMOTHR,Unspeciated PM2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Na,PNA,Fine mode sodium ,0.030875000000000003,0.002270166666666667,0.004719999999999999,0.0,0.0,0.0758,0.007065,0.008965,0.0,0.0
PNCOM,PNCOM,non-­‐carbon organic matter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H4N,PNH4,ammonium,0.2005,0.005799333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000612
NO3,PNO3,nitrate,0.04019999999999999,0.0076465000000000005,0.05296766666666666,0.002985,0.001,0.00217,0.0008699999999999999,0.0035266666666666667,0.0,0.00032099999999999994
OC,POC,Organic carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3H8,PRPA,propane,0.0,0.029782286216250394,0.1409387836,0.0,0.0,0.0,0.0,0.0,0.10940367825,0.0
Si,PSI,silica,0.0236,0.060951,0.17522333333333331,0.05438,0.018126666666666666,0.00079,0.01745,0.035805,0.0,0.16399999999999998
O4S,PSO4,sulfate,0.1061,0.14250775,0.2287433333333333,0.0617,0.008266666666666667,0.19548000000000001,0.12723,0.1692266666666667,0.0,0.00127
Ti,PTI,titanium,0.0010350000000000001,0.006209333333333333,0.0023599999999999997,0.00147,0.00049,3e-05,0.00043999999999999996,0.0006143333333333334,0.0,0.004905
SO2,SO2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOAALK,SOAALK,tracer for alkanes that can form secondary organic aerosol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H2SO4,SULF,sulfuric acid (gaseous),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C10H16,TERP,monoterpenes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C7H8,TOL,toluene and other monoalkyl aromatics,0.0,0.0655210296901664,0.027477036689999998,0.0072,0.0,0.0,0.0,0.0,0.030709405100000003,0.0
UNK,UNK,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNR,UNR,"Unreactivecarbongroups(e.g.,halogenatedcarbons)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VOC,VOC_INV,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C8H10,XYLMN,xylene and other polyalkyl aromatics except naphthalene,0.0,0.02144324607714184,0.0034552081649999998,0.0146,0.0,0.0,0.0,0.0,0.0030969421875000004,0.0
